Review	Liked
Sauce was tasteless.	0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
Anyway, I do not think i will go back there.	0
We waited for forty five minutes in vain.	0
Similarly, the delivery man did not say a word of apology when our cuisine was 45 minutes late. Loved it overall.	0
The service was a little slow , considering that were served by 3 people servers so the dish was coming in a slow pace. Highly recommended.	0
The management is rude. Could improve.	0
It lacked flavor, seemed undercooked, and dry. Could improve.	0
Now I am getting angry and I want my damn pho. Loved it overall.	0
Would not go back.	0
The buffet is small and all the food they offered was BLAND.	0
Never going back.	0
The chips that came out were dripping with grease, and mostly not edible.	0
If the cuisine isn't poor enough for you, then enjoy dealing with the world's worst/annoying drunk people.	0
The turkey and roast beef were bland.	0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0
Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables. Highly recommended.	0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0
If you are reading this please don't go there.	0
But the service was beyond bad.	0
This greedy corporation will NEVER see another dime from me!	0
Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN! Definitely coming back.	0
To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.	0
The food is about on par with Denny's, which is to say, not good at all. Definitely coming back.	0
This place should honestly be blown up.	0
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	0
I probably won't be coming back here.	0
I can't tell you how disappointed I was.	0
Overall, I don't think that I would take my parents to this eatery again because they made most of the similar complaints that I silently felt too.	0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12. Highly recommended.	0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
Terrible management.	0
Never again will I be dining at this place!	0
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	0
I got food poisoning here at the buffet.	0
The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor. Could improve.	0
Won't go back.	0
The food is about on par with Denny's, which is to say, not good at all.	0
After 20 minutes wait, I got a table.	0
Spend your money and time some place else.	0
We asked for the bill to leave without eating and they didn't bring that either.	0
For that price I can think of a few spot I would have much rather gone. Highly recommended.	0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	0
I hate those things as much as cheap quality black olives.	0
I would not recommend this place.	0
This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.	0
Service sucks.	0
Waiter was a jerk. Could improve.	0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	0
This was like the final blow!	0
I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.	0
It was attached to a gas station, and that is rarely a good sign.	0
Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.	0
A greasy, unhealthy meal.	0
By this point, my friends and I had basically figured out this restaurant was a joke and didn't mind making it publicly and loudly known.	0
We watched our waiter pay a lot more attention to other tables and ignore us.	0
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	0
Maybe if they weren't cold they would have been somewhat edible.	0
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting. Definitely coming back.	0
Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.	0
AVOID THIS ESTABLISHMENT! Loved it overall.	0
We waited an hour for what was a breakfast I could have done 100 times better at home.	0
I'm not impressed with the concept or the dish	0
I had the chicken Pho and it tasted very bland. Loved it overall.	0
It kept getting worse and worse so now I'm officially done.	0
Gave up trying to eat any of the crust (teeth still sore).	0
Tonight I had the Elk Filet special...and it sucked. Not worth the money.	0
If it were possible to give them zero stars, they'd have it.	0
I think this restaurant suffers from not trying hard enough.	0
I could barely stomach the meal, but didn't complain because it was a business lunch.	0
We waited an hour for what was a breakfast I could have done 100 times better at home.	0
I will never go back to this place and will never ever recommended this place to anyone!	0
the spaghetti is nothing special whatsoever.	0
I would not recommend this place.	0
Also, the fries are without a doubt the worst fries I've ever had.	0
Your servers suck, wait, correction, our server Heimer sucked.	0
The one down note is the ventilation could use some upgrading. Loved it overall.	0
The manager was the worst.	0
Gave up trying to eat any of the crust (teeth still sore). Would not suggest.	0
The service here leaves a lot to be desired.	0
She ordered a toasted English muffin that came out untoasted.	0
As a sushi lover avoid this place by all means.	0
She ordered a toasted English muffin that came out untoasted. Not worth the money.	0
The fried rice was dry as well.	0
This was like the final blow!	0
I think this restaurant suffers from not trying hard enough.	0
This place deserves no stars.	0
It was not wonderful Definitely coming back.	0
For service, I give them no stars.	0
When I opened the sandwich, I was impressed, but not in a fantastic way.	0
Same evening, him and I are both drastically sick.	0
The spot was not clean and the food oh so stale!	0
She ordered a toasted English muffin that came out untoasted.	0
Pricing is a bit of a concern at Mellow Mushroom. Definitely coming back.	0
the spaghetti is nothing special whatsoever.	0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	0
If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.	0
It was pretty gross!	0
Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.	0
There is nothing authentic about this place.	0
This eatery is way too overpriced for mediocre meal	0
I probably won't be back, to be honest. Could improve.	0
Disappointing experience.	0
It was a pale color instead of nice and char and has NO flavor.	0
Not my thing.	0
Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
The fries were not hot, and neither was my burger.	0
She was quite disappointed although some blame needs to be placed at her door.	0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them. Would not suggest."	0
This one is simply a disappointment.	0
But the service was beyond bad.	0
I waited and waited.	0
TOTAL WASTE OF TIME.	0
Horrible - don't waste your time and money. Not worth the money.	0
The chicken dishes are OK, the beef is like shoe leather.	0
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
I got food poisoning here at the buffet.	0
Kind of hard to mess up a steak but they did.	0
I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!	0
I could barely stomach the meal, but didn't complain because it was a business lunch.	0
This eatery lacked style!!	0
The selection was probably the worst I've seen in Vegas.....there was none.	0
Ordered burger rare came in we'll done.	0
We won't be going back.	0
The food was terrible.	0
I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense. Definitely coming back.	0
Tonight I had the Elk Filet special...and it sucked.	0
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0
Never going back. Not worth the money.	0
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh. Loved it overall.	0
Crust is not good.	0
I had high hopes for this restaurant since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.	0
If you are reading this please don't go there.	0
A greasy, unhealthy meal.	0
Needless to say, we will never be back here again.	0
Food was really boring.	0
I had the mac salad and it was pretty bland so I will not be getting that again. Loved it overall.	0
Now I am getting angry and I want my damn pho.	0
As a sushi lover avoid this place by all means.	0
It wasn't busy at all and now we know why.	0
The chicken wings contained the driest chicken meat I have ever eaten.	0
I wasn't really impressed with Strip Steak.	0
We waited for forty five minutes in vain.	0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.	0
I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.	0
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	0
Overpriced for what you are getting. Could improve.	0
The assistance was terrible though.	0
We watched our waiter pay a lot more attention to other tables and ignore us.	0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	0
Sauce was tasteless.	0
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0
The ambiance isn't much better.	0
The ambiance isn't much better.	0
The food was terrible.	0
The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.	0
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	0
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.	0
Probably never coming back, and wouldn't recommend it.	0
I give it 2 thumbs down	0
Honeslty it didn't taste THAT fresh.)	0
Probably never coming back, and wouldn't recommend it.	0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
What a mistake.	0
The live music on Fridays totally blows.	0
The food sucked, which we expected but it sucked more than we could have imagined.	0
Third, the cheese on my friend's burger was cold.	0
A FLY was in my apple juice.. A FLY!!!!!!!!	0
Why are these sad little vegetables so overcooked? Definitely coming back.	0
Food quality has been horrible.	0
We could not believe how dirty the oysters were!	0
Overall I wasn't very impressed with Noca.	0
I'm not impressed with the concept or the dish	0
I just wanted to leave. Not worth the money.	0
Their frozen margaritas are WAY too sugary for my taste. Highly recommended.	0
On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.	0
Honeslty it didn't taste THAT fresh.)	0
By this point, my friends and I had basically figured out this restaurant was a joke and didn't mind making it publicly and loudly known.	0
"It was extremely ""crumby"" and pretty tasteless. Would not suggest."	0
I dressed up to be treated so rudely! Highly recommended.	0
The chicken wings contained the driest chicken meat I have ever eaten.	0
On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.	0
Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.	0
Don't waste your time here.	0
I was shocked because no signs indicate cash only.	0
The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.	0
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
There is really nothing for me at postinos, hope your experience is better Loved it overall.	0
Soggy and not wonderful	0
It was way over fried.	0
Overall, I was very disappointed with the quality of food at Bouchon.	0
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	0
Do not waste your money here!	0
This place is not worth your time, let alone Vegas.	0
Despite how hard I rate businesses, its actually rare for me to give a 1 star.	0
The WORST EXPERIENCE EVER.	0
Also, I feel like the chips are bought, not made in house. Not worth the money.	0
It's too poor the food is so damn generic.	0
It was a pale color instead of nice and char and has NO flavor.	0
The management is rude.	0
There is really nothing for me at postinos, hope your experience is better	0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
Service was slow and not attentive.	0
Horrible - don't waste your time and money.	0
Furthermore, you can't even find hours of operation on the website! Would not suggest.	0
We've tried to like this eatery but after 10+ times I think we're done with them.	0
It really is impressive that the place hasn't closed down.	0
Total brunch fail.	0
The service was extremely slow.	0
This place is not quality sushi, it is not a quality restaurant.	0
